command	kind	mode	codepoint	name	meaning	role	font	katex	source	note
\lnsim	symbol	math	U+22E6	lnsim	less-than-and-not-equivalent-to	RELOP		\lnsim	lib/LaTeXML/Package/amssymb.sty.ltxml:227	
\looparrowleft	symbol	math	U+21AB	looparrowleft		ARROW		\looparrowleft	lib/LaTeXML/Package/amssymb.sty.ltxml:328	
\looparrowright	symbol	math	U+21AC	looparrowright		ARROW		\looparrowright	lib/LaTeXML/Package/amssymb.sty.ltxml:340	
\ltimes	symbol	math	U+22C9	ltimes	left-normal-factor-semidirect-product	MULOP		\ltimes	lib/LaTeXML/Package/amssymb.sty.ltxml:75	
\lvertneqq	symbol	math	U+2268	lvertneqq	less-than-and-not-equals	RELOP		\lvertneqq	lib/LaTeXML/Package/amssymb.sty.ltxml:225	
\measuredangle	symbol	math	U+2221	measuredangle				\measuredangle	lib/LaTeXML/Package/amssymb.sty.ltxml:40	
\multimap	symbol	math	U+22B8	multimap		ARROW		\multimap	lib/LaTeXML/Package/amssymb.sty.ltxml:350	
\nLeftarrow	symbol	math	U+21CD	nLeftarrow		ARROW		\nLeftarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:358	
\nLeftrightarrow	symbol	math	U+21CE	nLeftrightarrow		ARROW		\nLeftrightarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:362	
\nRightarrow	symbol	math	U+21CF	nRightarrow		ARROW		\nRightarrow	lib/LaTeXML/Package/amssymb.sty.ltxml:361	
\nVDash	symbol	math	U+22AF	nVDash		RELOP		\nVDash	lib/LaTeXML/Package/amssymb.sty.ltxml:311	
\nVdash	symbol	math	U+22AE	nVdash	not-forces	RELOP		\nVdash	lib/LaTeXML/Package/amssymb.sty.ltxml:249	
\ncong	symbol	math	U+2247	ncong	not-approximately-equals	RELOP		\ncong	lib/LaTeXML/Package/amssymb.sty.ltxml:304	
\nexists	symbol	math	U+2204	nexists	not-exists	FUNCTION		\nexists	lib/LaTeXML/Package/amssymb.sty.ltxml:41	
\ngeq	symbol	math	U+2271	ngeq	not-greater-than-nor-equals	RELOP		\ngeq	lib/LaTeXML/Package/amssymb.sty.ltxml:278	
\ngeqq	symbol	math	U+2267 U+0338	ngeqq	not-greater-than-nor-equals	RELOP		\ngeqq	lib/LaTeXML/Package/amssymb.sty.ltxml:282	
